Europe/Andorra	欧洲/安道尔
Asia/Dubai	亚洲/迪拜
Asia/Kabul	亚洲/喀布尔
America/Antigua	美国/安提瓜
America/Anguilla	美国/安圭拉
Europe/Tirane	欧洲/地拉尼
Asia/Yerevan	亚洲/埃里温
Africa/Luanda	非洲/罗安达
Antarctica/McMurdo	南极洲/麦克默多
Antarctica/Casey	南极洲/凯西
Antarctica/Davis	南极洲/戴维斯
Antarctica/DumontDUrville	南极洲/杜蒙Durville
Antarctica/Mawson	南极洲/莫森
Antarctica/Palmer	南极洲/帕尔默
Antarctica/Rothera	南极洲/罗瑟拉
Antarctica/Syowa	南极洲/小和
Antarctica/Troll	南极洲/巨魔
Antarctica/Vostok	南极洲/东方
America/Argentina/Buenos_Aires	美国/阿根廷/布宜诺斯艾利斯
America/Argentina/Cordoba	美国/阿根廷/科尔多瓦
America/Argentina/Salta	美国/阿根廷/萨尔塔
America/Argentina/Jujuy	美国/阿根廷/胡胡伊
America/Argentina/Tucuman	美国/阿根廷/图库曼
America/Argentina/Catamarca	美国/阿根廷/卡塔马卡
America/Argentina/La_Rioja	美国/阿根廷/La_Rioja
America/Argentina/San_Juan	美国/阿根廷/San_Juan
America/Argentina/Mendoza	美国/阿根廷/门多萨
America/Argentina/San_Luis	美国/阿根廷/San_Luis
America/Argentina/Rio_Gallegos	美洲/阿根廷/Rio_Gallegos
America/Argentina/Ushuaia	美国/阿根廷/乌斯怀亚
Pacific/Pago_Pago	太平洋/Pago_Pago
Europe/Vienna	欧洲/维也纳
Australia/Lord_Howe	澳大利亚/Lord_Howe
Antarctica/Macquarie	南极洲/麦格理
Australia/Hobart	澳大利亚/霍巴特
Australia/Melbourne	澳大利亚/墨尔本
Australia/Sydney	澳大利亚/悉尼
Australia/Broken_Hill	澳大利亚/Broken_Hill
Australia/Brisbane	澳大利亚/布里斯班
Australia/Lindeman	澳大利亚/林德曼
Australia/Adelaide	澳大利亚/阿德莱德
Australia/Darwin	澳大利亚/达尔文
Australia/Perth	澳大利亚/珀斯
Australia/Eucla	澳大利亚/欧克拉荷马
America/Aruba	美国/阿鲁巴
Europe/Mariehamn	欧洲/玛丽港
Asia/Baku	亚洲/巴库
Europe/Sarajevo	欧洲/萨拉热窝
America/Barbados	美国/巴巴多斯
Asia/Dhaka	亚洲/达卡
Europe/Brussels	欧洲/布鲁塞尔
Africa/Ouagadougou	非洲/瓦加杜古
Europe/Sofia	欧洲/索非亚
Asia/Bahrain	亚洲/巴林
Africa/Bujumbura	非洲/布琼布拉
Africa/Porto-Novo	非洲/波多诺伏
America/St_Barthelemy	America/St_Barthelemy
Atlantic/Bermuda	大西洋/百慕大
Asia/Brunei	亚洲/文莱
America/La_Paz	美国/拉巴斯
America/Kralendijk	美国/克拉伦代克
America/Noronha	美国/诺罗尼亚
America/Belem	美国/贝伦
America/Fortaleza	美国/福塔莱萨
America/Recife	美国/累西腓
America/Araguaina	美国/阿拉瓜纳
America/Maceio	美国/马塞约
America/Bahia	美国/巴伊亚
America/Sao_Paulo	美国/圣保罗
America/Campo_Grande	美国/Campo_Grande
America/Cuiaba	美国/库亚巴
America/Santarem	美国/圣塔伦
America/Porto_Velho	美洲/Porto_Velho
America/Boa_Vista	America/Boa_Vista
America/Manaus	美洲/马瑙斯
America/Eirunepe	美国/Eirunepe
